"Lake_Name" "co2.erate.mg.h_StdError" "ch4.erate.mg.h_StdError" "co2.erate.mg.h_Estimate" "ch4.erate.mg.h_Estimate" "co2.drate.mg.m2.h_Estimate" "ch4.drate.mg.m2.h_Estimate" "co2.drate.mg.m2.h_StdError" "ch4.drate.mg.m2.h_StdError" "ch4.trate.mg.h_Estimate" "co2.trate.mg.h_Estimate" "ch4.trate.mg.h_StdError" "co2.trate.mg.h_StdError" "reservoir.volume.m3" "mean.depth.m" "watershed.area.m2" "percent.openwater" "percent.urban" "percent.barren" "percent.forest" "percent.shrub.scrub" "percent.grassland.herbaceous" "percent.pasture.hay" "percent.cultivated.crops" "percent.wetlands" "reservoir.area.m2" "res.perimeter.m" "res.fetch.m" "prop.less.3m" "rda" "si" "percent.agg.ag" "Subpopulation" "citation" "max.depth.ft" "ch4.drate.mg.m2.h_LCB95Pct" "ch4.drate.mg.m2.h_UCB95Pct" "ch4.erate.mg.h_LCB95Pct" "ch4.erate.mg.h_UCB95Pct" "ch4.sat.ratio_Estimate" "ch4.sat.ratio_LCB95Pct" "ch4.sat.ratio_UCB95Pct" "ch4.sat.ratio_StdError" "ch4.trate.mg.h_LCB95Pct" "ch4.trate.mg.h_UCB95Pct" "chla_Estimate" "chla_LCB95Pct" "chla_UCB95Pct" "chla_StdError" "co2.drate.mg.m2.h_LCB95Pct" "co2.drate.mg.m2.h_UCB95Pct" "co2.erate.mg.h_LCB95Pct" "co2.erate.mg.h_UCB95Pct" "co2.sat.ratio_Estimate" "co2.sat.ratio_LCB95Pct" "co2.sat.ratio_UCB95Pct" "co2.sat.ratio_StdError" "co2.trate.mg.h_LCB95Pct" "co2.trate.mg.h_UCB95Pct" "dissolved.ch4_Estimate" "dissolved.ch4_LCB95Pct" "dissolved.ch4_UCB95Pct" "dissolved.ch4_StdError" "dissolved.co2_Estimate" "dissolved.co2_LCB95Pct" "dissolved.co2_UCB95Pct" "dissolved.co2_StdError" "dissolved.n2o_Estimate" "dissolved.n2o_LCB95Pct" "dissolved.n2o_UCB95Pct" "dissolved.n2o_StdError" "ebMlHrM2_Estimate" "ebMlHrM2_LCB95Pct" "ebMlHrM2_UCB95Pct" "ebMlHrM2_StdError" "n2o.erate.mg.h_Estimate" "n2o.erate.mg.h_LCB95Pct" "n2o.erate.mg.h_UCB95Pct" "n2o.erate.mg.h_StdError" "n2o.sat.ratio_Estimate" "n2o.sat.ratio_LCB95Pct" "n2o.sat.ratio_UCB95Pct" "n2o.sat.ratio_StdError" "tn_Estimate" "tn_LCB95Pct" "tn_UCB95Pct" "tn_StdError" "tnh4_Estimate" "tnh4_LCB95Pct" "tnh4_UCB95Pct" "tnh4_StdError" "tno2_Estimate" "tno2_LCB95Pct" "tno2_UCB95Pct" "tno2_StdError" "tp_Estimate" "tp_LCB95Pct" "tp_UCB95Pct" "tp_StdError" "trap_ch4.ppm_Estimate" "trap_ch4.ppm_LCB95Pct" "trap_ch4.ppm_UCB95Pct" "trap_ch4.ppm_StdError" "deplyDt" "lLake_Name" "reservoir.id" "dam" "dam.former.name" "state" "main.dam" "reservoir.polygon.yn" "issue.type" "overlap.watershed.yn" "max.contour.ft" "contour.interval.ft" "last.surveyed" "min.contour.ft" "hypoxic.frac" "hypol.frac"
"1" "Allatoona" 0.0034337314247403 0.18976707903924 0.00810131327054968 0.473190524637382 54.2306349994453 0.600939809057614 7.29431172255226 0.223009515853133 1.074130333695 54.2387363127158 0.292822110586161 7.29431253075126 4.53e+08 9.24489795918367 2898479700 2.13039270207758 22.9725949089794 0.365591658275199 62.9928958964246 1.81938828138075 2.72591524446419 6.25200859609263 0.0344973953069259 0.70671531699877 45544876.580742 387034.625933 6113.58 0.17479332271383 63.6400824330169 16.1780109114342 6.28650599139956 "Lake" "Bevelhimer" 135.956 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "Douglas" 0.000406323714065018 1.70463657107421e-06 0.000984172144506768 2.70942238538763e-06 25.6230924034617 0.370921714345748 40.1063353522245 0.176627965489188 0.370924423768134 25.6240765756062 0.176627965497413 40.1063353542828 1.334e+09 11.6 11764474200 0.943355377497449 9.91728045100392 0.265253673640595 66.4353235608269 0.934726007559267 1.27517301198212 19.316110192158 0.756263293093031 0.156514432238714 120032477.340757 772562.037502 9107.27 0.122197009132135 98.0107589265374 19.8920273181177 20.072373485251 "Lake" "Bevelhimer" 119.9824 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "Fontana" 0.000746600116270933 1.36330618767562e-05 0.00132541842774645 2.31788973903838e-05 38.3692470988736 0.118764763037071 4.51151956824728 0.00558113112460768 0.118787941934461 38.3705725173013 0.00558114777536312 4.51151963002378 1.78e+09 41.3953488372093 4069188900 1.28119635832094 5.73998174427341 0.107291652152103 87.475275478118 1.10100565741738 0.742924468313575 3.41869113031346 0.0689842636698434 0.0646492474212736 35188151.698201 310146.690505 8839.14 0.051682396276509 115.640882047466 14.7490480839373 3.48767539398331 "Lake" "Bevelhimer" 387.8928 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "Guntersville" 0.00710300189923221 0.29000134193712 0.0133855986744649 0.448537140943535 39.6870242723032 0.190414811041691 6.78960321251862 0.0189943531588168 0.638951951985225 39.7004098709777 0.290622717242221 6.78960692795093 1.256e+09 4.50179211469534 10001122200 4.24054012658699 10.9094487416622 0.207858674099593 52.6881873316176 4.55164421448625 2.96468130346413 19.4794660143239 3.89206323266403 1.06611036109528 265524441.518548 1303147.914299 26122.61 0.631624847035239 37.6655427379983 22.5598667020356 23.3715292469879 "Lake" "Bevelhimer" 132.84 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "Hartwell" 0.00224488450199316 0.0919921295847183 0.000519521464726879 0.00413135578267655 48.5129478986346 0.133821853594996 2.90455275459301 0.00794522079205038 0.137953209377673 48.5134674200994 0.0923346004429869 2.90455362211137 3.145e+09 13.9159292035398 5427916200 6.27598856445131 11.200414258422 0.437239616927026 63.5268208451708 1.12543189226097 5.86542769396477 11.0051404257125 0.0508537696289416 0.512682933461648 208113246.530276 1371042.316601 14152.33 0.136110858015106 26.0815507445863 26.8099537755171 11.0559941953415 "Lake" "Bevelhimer" 159.9656 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "Watts Bar" 0.000345033158286154 0.0299732084670771 0.00127273109652493 0.0323713262227393 2.47362068324301 0.0113699441672588 6.59537821076496 0.00987297503618637 0.0437412703899982 2.47489341433954 0.0315573899724933 6.59537821979006 1.396e+09 7.93181818181818 44788116600 1.85637075884544 10.2624127758031 0.390508718109392 64.4935793080435 1.14580504597507 3.92563191639097 17.1578922789533 0.539638900556046 0.228160297323152 135252397.517904 835202.275139 12723.58 0.359641145832413 331.144714784602 20.2588248895965 17.6975311795093 "Lake" "Bevelhimer" 68.88 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "J.C. Boyle" NA 4.44458333333333 NA 8.02458333333333 NA 0.3425 NA 0.085 8.36708333333333 NA 4.44539604612957 NA 2918831.26506 2.15625 18001776978.8838 3.0932604177285 1.3618081088847 1.0030728523942 43.5649657330688 24.0739584371254 13.7521531039719 4.0154461040448 5.3851284503096 3.7488619227228 1338471.771473 12907.397670777 172.887175103 0.750130342994875 13449.5006637852 3.14723484181402 9.4005745543544 "Lake" "Harrison" 39.36 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "Kachess" NA 0.00166666666666667 NA 0.00166666666666667 NA 0.03125 NA 0.0108333333333333 0.0329166666666667 NA 0.0109607886983049 NA 1055810216.43685 60.074062 163905355.802033 10.1879354551793 1.9704947374778 1.5861686532665 62.9548087428694 17.4407177015104 4.7041512707467 0 0 1.1557234389498 17273092.078393 41784.2709759599 9945.174577866 0.0453449186783858 9.48905702917332 2.83610857659627 0 "Lake" "Harrison" 405.896064 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "Lacamas" NA 0.000833333333333333 NA 0.00125 NA 0.351666666666667 NA 0.0445833333333333 0.352916666666667 NA 0.0445911208151977 NA 8623007.590801 8.593667 154963374.489016 0.8874279110017 27.5857663067783 0.2683191720437 32.5897446321646 9.9731100050528 3.6774826783132 19.8277414146577 1.6354692391235 3.5549386408647 1186484.944462 13082.801985507 3618.88452733599 0.27927556956338 130.607114074492 3.38816631422085 21.4632106537812 "Lake" "Harrison" 64.98336 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "Foster" NA 0.448333333333333 NA 0.734583333333333 NA 0.0875 NA 0.0075 0.822083333333333 NA 0.448396061287092 NA 62593141.498172 15.24 1275024665.90988 1.1597235015885 0.7592200841805 0.3556814804933 75.9899824735639 17.6941478079249 3.9483538349579 0.0340929063462 0.0521628525669 0.0066350583779 4020915.468898 17654.425531549 3920.304796634 0.0818523226213958 317.098102601824 2.4836259379714 0.0862557589131 "Lake" "Harrison" 99.9744 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "Cle Elum" NA 0.00115470053837925 NA 0 NA 0.00875 NA 0.00125 0.00875 NA 0.00170171482138851 NA 730931352.617799 50.356 523593593.393891 3.1857622177608 1.111252440802 7.4202098402134 65.9337958251973 13.3554838975826 7.0145554302687 0 0 1.3570515112346 14690201.707241 33559.619248545 9475.102198819 0.0207641919191833 35.6423692355296 2.47000716673639 0 "Lake" "Harrison" 304.92192 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "Acton Lake" 0.00720065033528613 0.720521844824547 0.0778384598341738 3.50170830760351 -42.3587839373404 1.69908915271004 10.8062780931099 0.158053887542978 5.08752485013288 -42.2821370625273 0.751275136689153 10.8057308013575 9315549.44 4.155 257751244.962017 1.0418848898758 5.3763215597548 0 12.4942389072778 0 0.002196198377118 3.5132190891189 77.2042289912152 0.1504867250457 2246083.79 12314.8784484476 3832.807085503 0.3509 114.755845756768 2.31799353730219 80.7174480803341 "lake" "EPA" 31.5 1.38930922550926 2.00886907991082 2.08951144167304 4.91390517353398 399.170058559747 393.914520664459 404.425596455036 2.68144615755367 3.61505263974173 6.55999706052402 21.7933333333333 18.4140310553828 25.1726356112838 1.72416549722649 -63.5386998067601 -21.1788680679208 0.0637254445117468 0.0919514751566009 0.862572408209062 0.726822053632846 0.998322762785278 0.0692616576870787 -63.4609802598232 -21.1032938652314 7.41e-06 7.09640576247359e-06 7.72359423752641e-06 1.6e-07 8.2e-05 6.61242917252256e-05 9.78757082747744e-05 8.1e-06 2.825e-07 2.6976023410049e-07 2.9523976589951e-07 6.50000000000001e-09 58.5350746963439 47.3451909774382 69.7249584152495 5.70922925480776 NA NA NA NA 5.04918368265358 5.02814706918903 5.07022029611813 0.0107331632777354 2820 -546.238143447541 6186.23814344754 1717.5 16.25 10.2721098471528 22.2278901528472 3.05 75.75 74.476023410049 77.023976589951 0.650000000000006 38.599928398 29.3609408299082 47.8389159660918 4.7138557856 85909.2453333333 51149.3202869455 120669.170379721 17734.9815203594 2016-05-31 "acton lake" 1 "acton lake dam" "na" "OH" "Yes" "Yes" NA "No" 33 3 1999 30 0.0735557644144713 0.48060621854206
